tahun,pendapatan,beban_operasional,penyusutan,skenario
2023,1000000000,400000000,50000000,Normal
2024,1100000000,420000000,50000000,Normal
2025,1200000000,440000000,50000000,Normal
2026,1300000000,460000000,50000000,Normal
2027,1400000000,480000000,50000000,Normal
2023,1000000000,400000000,50000000,Tax Holiday
2024,1100000000,420000000,50000000,Tax Holiday
2025,1200000000,440000000,50000000,Tax Holiday
2026,1300000000,460000000,50000000,Tax Holiday
2027,1400000000,480000000,50000000,Tax Holiday
2023,1000000000,400000000,60000000,Perbandingan metode depresiasi
2024,1100000000,420000000,55000000,Perbandingan metode depresiasi
2025,1200000000,440000000,50000000,Perbandingan metode depresiasi
2026,1300000000,460000000,45000000,Perbandingan metode depresiasi
2027,1400000000,480000000,40000000,Perbandingan metode depresiasi
